Id,From,To,Avg_Duration,Total_Duration,Avg_Bytes,Total_Bytes,Count,Hop_Count,Tactic
edge_0,0.0.0.0,255.255.255.255,1988.9227977474700,3466692.4364738500,0.49569707401032700,864,1743,1,none
edge_1,143.88.0.18,192.58.128.30,0.0,0.0,0.0,0,351,1,none
edge_2,143.88.0.18,202.12.27.33,0.0,0.0,0.0,0,387,1,none
edge_3,143.88.0.18,193.0.14.129,0.0,0.0,0.0,0,392,1,none
edge_4,143.88.0.18,192.5.5.241,0.0,0.0,0.0,0,402,1,none
edge_5,143.88.0.18,199.7.91.13,0.0,0.0,0.0,0,398,1,none
edge_6,143.88.0.18,192.36.148.17,0.0,0.0,0.0,0,348,1,none
edge_7,143.88.0.18,199.9.14.201,0.0,0.0,0.0,0,391,1,none
edge_8,143.88.0.18,199.7.83.42,0.0,0.0,0.0,0,383,1,none
edge_9,143.88.0.18,192.112.36.4,0.0,0.0,0.0,0,377,1,none
edge_10,143.88.0.18,192.33.4.12,0.0,0.0,0.0,0,373,1,none
edge_11,143.88.0.18,198.97.190.53,0.0,0.0,0.0,0,391,1,none
edge_12,143.88.0.18,192.203.230.10,0.0,0.0,0.0,0,358,1,none
edge_13,143.88.0.18,143.88.0.17,2.1388461589813200,4.2776923179626500,84.0,168,2,1,none
edge_14,143.88.0.18,198.41.0.4,0.0,0.0,0.0,0,366,1,none
edge_15,143.88.0.2,202.12.27.33,0.0,0.0,0.0,0,3395,1,none
edge_16,143.88.0.2,198.41.0.4,0.0,0.0,0.0,0,3410,1,none
edge_17,143.88.0.2,192.33.4.12,0.0,0.0,0.0,0,3420,1,none
edge_18,143.88.0.2,192.58.128.30,0.0,0.0,0.0,0,3425,1,none
edge_19,143.88.0.2,192.36.148.17,0.0,0.0,0.0,0,3410,1,none
edge_20,143.88.0.2,192.203.230.10,0.0,0.0,0.0,0,3389,1,none
edge_21,143.88.0.2,198.97.190.53,0.0,0.0,0.0,0,3405,1,none
edge_22,143.88.0.2,192.112.36.4,0.0,0.0,0.0,0,3426,1,none
edge_23,143.88.0.2,199.7.83.42,0.0,0.0,0.0,0,3424,1,none
edge_24,143.88.0.2,192.5.5.241,0.0,0.0,0.0,0,3404,1,none
edge_25,143.88.0.2,199.9.14.201,0.0,0.0,0.0,0,3383,1,none
edge_26,143.88.0.2,199.7.91.13,0.0,0.0,0.0,0,3395,1,none
edge_27,143.88.0.2,143.88.255.10,1623031.7442588800,3246063.488517760,90888280,181776560,2,1,none
edge_28,143.88.0.2,193.0.14.129,0.0,0.0,0.0,0,3405,1,none
edge_29,143.88.0.42,198.97.190.53,0.0,0.0,0.0,0,2553,2,none
edge_30,143.88.0.42,192.203.230.10,0.0,0.0,0.0,0,2614,2,none
edge_31,143.88.0.42,192.5.5.241,0.0,0.0,0.0,0,2610,2,none
edge_32,143.88.0.42,199.7.91.13,0.0,0.0,0.0,0,2591,2,none
edge_33,143.88.0.42,193.0.14.129,0.0,0.0,0.0,0,2641,2,none
edge_34,143.88.0.42,198.41.0.4,0.0,0.0,0.0,0,2549,2,none
edge_35,143.88.0.42,202.12.27.33,0.0,0.0,0.0,0,2570,2,none
edge_36,143.88.0.42,192.58.128.30,0.0,0.0,0.0,0,2499,2,none
edge_37,143.88.0.42,192.33.4.12,0.0,0.0,0.0,0,2638,2,none
edge_38,143.88.0.42,192.36.148.17,0.0,0.0,0.0,0,2609,2,none
edge_39,143.88.0.42,192.112.36.4,0.0,0.0,0.0,0,2530,2,none
edge_40,143.88.0.42,199.9.14.201,0.0,0.0,0.0,0,2579,2,none
edge_41,143.88.0.42,199.7.83.42,0.0,0.0,0.0,0,2601,2,none
edge_42,143.88.1.50,143.88.1.255,7.479353935339500,172989.97717046700,0.054952656837736200,1271,23129,1,none
edge_43,143.88.1.50,143.88.1.1,4.031414565411760,20499.74306511880,0.058997050147492600,300,5085,1,none
edge_44,143.88.1.50,143.88.255.10,1623031.7443728400,3246063.4887456900,45444140,90888280,2,1,none
edge_45,143.88.1.50,224.0.0.251,0.0,0.0,0.0,0,873,1,none
edge_46,143.88.1.51,143.88.1.1,4.987799007987480,1562682.4170014900,0.000651131020967057,204,313301,1,none
edge_47,143.88.1.52,224.0.0.252,0.09732245393463260,168.465167760849,0.046216060080878100,80,1731,1,none
edge_48,143.88.1.52,143.88.1.1,0.0012870983363994400,2.3914287090301500,0.17653390742734100,328,1858,1,none
edge_49,143.88.1.53,224.0.0.251,0.0,0.0,0.0,0,1729,1,none
